Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Parameter Value[Merged Sequence Data]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM3072467	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919895.fastq.gz	GeneLab raw data processing protocol	12476947	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072467_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072467_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072467_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072467_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072467_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072467_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072467_SJ.out.tab	GLDS-498_rna_seq_GSM3072467_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072467.genes.results,GLDS-498_rna_seq_GSM3072467.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072468	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919896.fastq.gz	GeneLab raw data processing protocol	11530986	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.39	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072468_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072468_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072468_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072468_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072468_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072468_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072468_SJ.out.tab	GLDS-498_rna_seq_GSM3072468_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072468.genes.results,GLDS-498_rna_seq_GSM3072468.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072469	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919897.fastq.gz	GeneLab raw data processing protocol	10733470	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.55	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072469_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072469_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072469_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072469_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072469_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072469_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072469_SJ.out.tab	GLDS-498_rna_seq_GSM3072469_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072469.genes.results,GLDS-498_rna_seq_GSM3072469.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072470	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919898.fastq.gz	GeneLab raw data processing protocol	11969501	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072470_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072470_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072470_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072470_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072470_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072470_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072470_SJ.out.tab	GLDS-498_rna_seq_GSM3072470_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072470.genes.results,GLDS-498_rna_seq_GSM3072470.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072471	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919899.fastq.gz	GeneLab raw data processing protocol	12943806	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.28	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072471_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072471_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072471_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072471_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072471_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072471_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072471_SJ.out.tab	GLDS-498_rna_seq_GSM3072471_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072471.genes.results,GLDS-498_rna_seq_GSM3072471.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072472	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919900.fastq.gz	GeneLab raw data processing protocol	10179313	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072472_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072472_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072472_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072472_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072472_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072472_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072472_SJ.out.tab	GLDS-498_rna_seq_GSM3072472_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072472.genes.results,GLDS-498_rna_seq_GSM3072472.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072473	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919901.fastq.gz	GeneLab raw data processing protocol	12265374	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072473_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072473_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072473_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072473_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072473_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072473_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072473_SJ.out.tab	GLDS-498_rna_seq_GSM3072473_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072473.genes.results,GLDS-498_rna_seq_GSM3072473.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072474	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919902.fastq.gz	GeneLab raw data processing protocol	10550209	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072474_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072474_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072474_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072474_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072474_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072474_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072474_SJ.out.tab	GLDS-498_rna_seq_GSM3072474_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072474.genes.results,GLDS-498_rna_seq_GSM3072474.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072475	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919903.fastq.gz	GeneLab raw data processing protocol	12343904	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.36	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072475_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072475_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072475_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072475_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072475_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072475_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072475_SJ.out.tab	GLDS-498_rna_seq_GSM3072475_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072475.genes.results,GLDS-498_rna_seq_GSM3072475.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
GSM3072476	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-498_rna-seq_SRR6919904.fastq.gz	GeneLab raw data processing protocol	11217488	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-498_rna_seq_raw_multiqc_report.zip	GLDS-498_rna_seq_GSM3072476_raw.fastq.gz	GeneLab RNAseq data processing protocol	GLDS-498_rna_seq_GSM3072476_trimmed.fastq.gz	GLDS-498_rna_seq_trimmed_multiqc_report.zip	GLDS-498_rna_seq_GSM3072476_raw.fastq.gz_trimming_report.txt	GLDS-498_rna_seq_GSM3072476_Aligned.sortedByCoord_sorted.out.bam,GLDS-498_rna_seq_GSM3072476_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-498_rna_seq_GSM3072476_Aligned.toTranscriptome.out.bam,GLDS-498_rna_seq_GSM3072476_SJ.out.tab	GLDS-498_rna_seq_GSM3072476_Log.final.out	GLDS-498_rna_seq_align_multiqc_report.zip	GLDS-498_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-498_rna_seq_infer_exp_multiqc_report.zip,GLDS-498_rna_seq_read_dist_multiqc_report.zip	GLDS-498_rna_seq_GSM3072476.genes.results,GLDS-498_rna_seq_GSM3072476.isoforms.results	GLDS-498_rna_seq_RSEM_count_multiqc_report.zip	GLDS-498_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-498_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-498_rna_seq_Normalized_Counts.csv	GLDS-498_rna_seq_SampleTable.csv,GLDS-498_rna_seq_contrasts.csv,GLDS-498_rna_seq_differential_expression.csv
