Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM3072302	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072302_raw.fastq.gz	GeneLab raw data processing protocol	16999314	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072302_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072302_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072302_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072302_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072302_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072302_SJ.out.tab	GLDS-510_rna_seq_GSM3072302_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072302.genes.results,GLDS-510_rna_seq_GSM3072302.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072303	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072303_raw.fastq.gz	GeneLab raw data processing protocol	12607798	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072303_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072303_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072303_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072303_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072303_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072303_SJ.out.tab	GLDS-510_rna_seq_GSM3072303_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072303.genes.results,GLDS-510_rna_seq_GSM3072303.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072304	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072304_raw.fastq.gz	GeneLab raw data processing protocol	14232025	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072304_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072304_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072304_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072304_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072304_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072304_SJ.out.tab	GLDS-510_rna_seq_GSM3072304_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072304.genes.results,GLDS-510_rna_seq_GSM3072304.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072305	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072305_raw.fastq.gz	GeneLab raw data processing protocol	12075995	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.44	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072305_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072305_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072305_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072305_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072305_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072305_SJ.out.tab	GLDS-510_rna_seq_GSM3072305_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072305.genes.results,GLDS-510_rna_seq_GSM3072305.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072306	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072306_raw.fastq.gz	GeneLab raw data processing protocol	12177499	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072306_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072306_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072306_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072306_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072306_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072306_SJ.out.tab	GLDS-510_rna_seq_GSM3072306_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072306.genes.results,GLDS-510_rna_seq_GSM3072306.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072307	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072307_raw.fastq.gz	GeneLab raw data processing protocol	12090467	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072307_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072307_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072307_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072307_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072307_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072307_SJ.out.tab	GLDS-510_rna_seq_GSM3072307_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072307.genes.results,GLDS-510_rna_seq_GSM3072307.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072308	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072308_raw.fastq.gz	GeneLab raw data processing protocol	12508144	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072308_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072308_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072308_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072308_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072308_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072308_SJ.out.tab	GLDS-510_rna_seq_GSM3072308_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072308.genes.results,GLDS-510_rna_seq_GSM3072308.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072309	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072309_raw.fastq.gz	GeneLab raw data processing protocol	11601179	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072309_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072309_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072309_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072309_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072309_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072309_SJ.out.tab	GLDS-510_rna_seq_GSM3072309_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072309.genes.results,GLDS-510_rna_seq_GSM3072309.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072310	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072310_raw.fastq.gz	GeneLab raw data processing protocol	15065407	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072310_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072310_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072310_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072310_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072310_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072310_SJ.out.tab	GLDS-510_rna_seq_GSM3072310_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072310.genes.results,GLDS-510_rna_seq_GSM3072310.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
GSM3072311	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-510_rna-seq_GSM3072311_raw.fastq.gz	GeneLab raw data processing protocol	15429275	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-510_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-510_rna_seq_GSM3072311_trimmed.fastq.gz	GLDS-510_rna_seq_trimmed_multiqc_report.zip	GLDS-510_rna_seq_GSM3072311_raw.fastq.gz_trimming_report.txt	GLDS-510_rna_seq_GSM3072311_Aligned.sortedByCoord_sorted.out.bam,GLDS-510_rna_seq_GSM3072311_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-510_rna_seq_GSM3072311_Aligned.toTranscriptome.out.bam,GLDS-510_rna_seq_GSM3072311_SJ.out.tab	GLDS-510_rna_seq_GSM3072311_Log.final.out	GLDS-510_rna_seq_align_multiqc_report.zip	GLDS-510_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-510_rna_seq_infer_exp_multiqc_report.zip,GLDS-510_rna_seq_read_dist_multiqc_report.zip	GLDS-510_rna_seq_GSM3072311.genes.results,GLDS-510_rna_seq_GSM3072311.isoforms.results	GLDS-510_rna_seq_RSEM_count_multiqc_report.zip	GLDS-510_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-510_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-510_rna_seq_Normalized_Counts.csv	GLDS-510_rna_seq_SampleTable.csv,GLDS-510_rna_seq_contrasts.csv,GLDS-510_rna_seq_differential_expression.csv
