Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Name]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
CWRU004174_S1	Nucleic Acid Extraction	CWRU004174_S1	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004174_S1_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004174_S1_R2_raw.fastq.gz	GeneLab raw data processing protocol	18.44	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35586738	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004174_S1_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004174_S1_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004174_S1_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004174_S1_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004174_S1_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004174_S1_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004174_S1_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004174_S1_SJ.out.tab	GLDS-603_rna_seq_CWRU004174_S1_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004174_S1.genes.results,GLDS-603_rna_seq_CWRU004174_S1.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004175_S2	Nucleic Acid Extraction	CWRU004175_S2	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004175_S2_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004175_S2_R2_raw.fastq.gz	GeneLab raw data processing protocol	19.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35946876	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004175_S2_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004175_S2_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004175_S2_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004175_S2_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004175_S2_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004175_S2_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004175_S2_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004175_S2_SJ.out.tab	GLDS-603_rna_seq_CWRU004175_S2_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004175_S2.genes.results,GLDS-603_rna_seq_CWRU004175_S2.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004176_S3	Nucleic Acid Extraction	CWRU004176_S3	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004176_S3_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004176_S3_R2_raw.fastq.gz	GeneLab raw data processing protocol	7.25	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30442073	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004176_S3_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004176_S3_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004176_S3_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004176_S3_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004176_S3_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004176_S3_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004176_S3_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004176_S3_SJ.out.tab	GLDS-603_rna_seq_CWRU004176_S3_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004176_S3.genes.results,GLDS-603_rna_seq_CWRU004176_S3.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004177_S4	Nucleic Acid Extraction	CWRU004177_S4	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004177_S4_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004177_S4_R2_raw.fastq.gz	GeneLab raw data processing protocol	16.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	38449771	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004177_S4_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004177_S4_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004177_S4_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004177_S4_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004177_S4_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004177_S4_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004177_S4_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004177_S4_SJ.out.tab	GLDS-603_rna_seq_CWRU004177_S4_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004177_S4.genes.results,GLDS-603_rna_seq_CWRU004177_S4.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004178_S5	Nucleic Acid Extraction	CWRU004178_S5	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004178_S5_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004178_S5_R2_raw.fastq.gz	GeneLab raw data processing protocol	14.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33194756	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004178_S5_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004178_S5_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004178_S5_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004178_S5_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004178_S5_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004178_S5_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004178_S5_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004178_S5_SJ.out.tab	GLDS-603_rna_seq_CWRU004178_S5_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004178_S5.genes.results,GLDS-603_rna_seq_CWRU004178_S5.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004179_S6	Nucleic Acid Extraction	CWRU004179_S6	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004179_S6_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004179_S6_R2_raw.fastq.gz	GeneLab raw data processing protocol	10.57	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33620417	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004179_S6_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004179_S6_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004179_S6_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004179_S6_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004179_S6_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004179_S6_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004179_S6_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004179_S6_SJ.out.tab	GLDS-603_rna_seq_CWRU004179_S6_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004179_S6.genes.results,GLDS-603_rna_seq_CWRU004179_S6.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004180_S7	Nucleic Acid Extraction	CWRU004180_S7	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004180_S7_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004180_S7_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	31262299	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004180_S7_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004180_S7_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004180_S7_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004180_S7_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004180_S7_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004180_S7_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004180_S7_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004180_S7_SJ.out.tab	GLDS-603_rna_seq_CWRU004180_S7_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004180_S7.genes.results,GLDS-603_rna_seq_CWRU004180_S7.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004181_S8	Nucleic Acid Extraction	CWRU004181_S8	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004181_S8_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004181_S8_R2_raw.fastq.gz	GeneLab raw data processing protocol	10.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	25340036	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004181_S8_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004181_S8_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004181_S8_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004181_S8_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004181_S8_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004181_S8_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004181_S8_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004181_S8_SJ.out.tab	GLDS-603_rna_seq_CWRU004181_S8_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004181_S8.genes.results,GLDS-603_rna_seq_CWRU004181_S8.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004182_S9	Nucleic Acid Extraction	CWRU004182_S9	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004182_S9_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004182_S9_R2_raw.fastq.gz	GeneLab raw data processing protocol	5.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33709312	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004182_S9_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004182_S9_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004182_S9_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004182_S9_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004182_S9_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004182_S9_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004182_S9_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004182_S9_SJ.out.tab	GLDS-603_rna_seq_CWRU004182_S9_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004182_S9.genes.results,GLDS-603_rna_seq_CWRU004182_S9.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
CWRU004183_S10	Nucleic Acid Extraction	CWRU004183_S10	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq 550	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-603_rna-seq_CWRU004183_S10_R1_raw.fastq.gz,GLDS-603_rna-seq_CWRU004183_S10_R2_raw.fastq.gz	GeneLab raw data processing protocol	17.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	31120925	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-603_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-603_rna_seq_CWRU004183_S10_R1_trimmed.fastq.gz,GLDS-603_rna_seq_CWRU004183_S10_R2_trimmed.fastq.gz	GLDS-603_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004183_S10_R1_raw.fastq.gz_trimming_report.txt,GLDS-603_rna_seq_CWRU004183_S10_R2_raw.fastq.gz_trimming_report.txt	GLDS-603_rna_seq_CWRU004183_S10_Aligned.sortedByCoord_sorted.out.bam,GLDS-603_rna_seq_CWRU004183_S10_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-603_rna_seq_CWRU004183_S10_Aligned.toTranscriptome.out.bam,GLDS-603_rna_seq_CWRU004183_S10_SJ.out.tab	GLDS-603_rna_seq_CWRU004183_S10_Log.final.out	GLDS-603_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-603_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_CWRU004183_S10.genes.results,GLDS-603_rna_seq_CWRU004183_S10.isoforms.results	GLDS-603_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-603_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-603_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-603_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-603_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-603_rna_seq_differential_expression_GLbulkRNAseq.csv
