Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Merged Sequence Data/Multiqc Reports]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
GSM3082835	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082835_raw.fastq.gz	GeneLab raw data processing protocol	18869687	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082835_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082835_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082835_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082835_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082835_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082835_SJ.out.tab	GLDS-508_rna_seq_GSM3082835_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082835.genes.results,GLDS-508_rna_seq_GSM3082835.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082836	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082836_raw.fastq.gz	GeneLab raw data processing protocol	12228213	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082836_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082836_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082836_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082836_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082836_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082836_SJ.out.tab	GLDS-508_rna_seq_GSM3082836_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082836.genes.results,GLDS-508_rna_seq_GSM3082836.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082837	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082837_raw.fastq.gz	GeneLab raw data processing protocol	21539380	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.18	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082837_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082837_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082837_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082837_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082837_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082837_SJ.out.tab	GLDS-508_rna_seq_GSM3082837_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082837.genes.results,GLDS-508_rna_seq_GSM3082837.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082838	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082838_raw.fastq.gz	GeneLab raw data processing protocol	13119300	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.2	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082838_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082838_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082838_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082838_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082838_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082838_SJ.out.tab	GLDS-508_rna_seq_GSM3082838_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082838.genes.results,GLDS-508_rna_seq_GSM3082838.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082839	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082839_raw.fastq.gz	GeneLab raw data processing protocol	19539570	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082839_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082839_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082839_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082839_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082839_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082839_SJ.out.tab	GLDS-508_rna_seq_GSM3082839_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082839.genes.results,GLDS-508_rna_seq_GSM3082839.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082840	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082840_raw.fastq.gz	GeneLab raw data processing protocol	12380467	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082840_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082840_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082840_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082840_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082840_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082840_SJ.out.tab	GLDS-508_rna_seq_GSM3082840_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082840.genes.results,GLDS-508_rna_seq_GSM3082840.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082841	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082841_raw.fastq.gz	GeneLab raw data processing protocol	12461344	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082841_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082841_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082841_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082841_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082841_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082841_SJ.out.tab	GLDS-508_rna_seq_GSM3082841_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082841.genes.results,GLDS-508_rna_seq_GSM3082841.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082842	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082842_raw.fastq.gz	GeneLab raw data processing protocol	13229814	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082842_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082842_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082842_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082842_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082842_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082842_SJ.out.tab	GLDS-508_rna_seq_GSM3082842_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082842.genes.results,GLDS-508_rna_seq_GSM3082842.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082843	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082843_raw.fastq.gz	GeneLab raw data processing protocol	12926545	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082843_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082843_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082843_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082843_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082843_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082843_SJ.out.tab	GLDS-508_rna_seq_GSM3082843_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082843.genes.results,GLDS-508_rna_seq_GSM3082843.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
GSM3082844	Nucleic Acid Extraction	total RNA	Library Construction	polyA enrichment	SINGLE	Nucleic Acid Sequencing	Illumina HiSeq 2500	RNA-Seq	50	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	GLDS-508_rna-seq_GSM3082844_raw.fastq.gz	GeneLab raw data processing protocol	12526991	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-508_rna_seq_raw_multiqc_report.zip	GeneLab RNAseq data processing protocol	GLDS-508_rna_seq_GSM3082844_trimmed.fastq.gz	GLDS-508_rna_seq_trimmed_multiqc_report.zip	GLDS-508_rna_seq_GSM3082844_raw.fastq.gz_trimming_report.txt	GLDS-508_rna_seq_GSM3082844_Aligned.sortedByCoord_sorted.out.bam,GLDS-508_rna_seq_GSM3082844_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-508_rna_seq_GSM3082844_Aligned.toTranscriptome.out.bam,GLDS-508_rna_seq_GSM3082844_SJ.out.tab	GLDS-508_rna_seq_GSM3082844_Log.final.out	GLDS-508_rna_seq_align_multiqc_report.zip	GLDS-508_rna_seq_geneBody_cov_multiqc_report.zip,GLDS-508_rna_seq_infer_exp_multiqc_report.zip,GLDS-508_rna_seq_read_dist_multiqc_report.zip	GLDS-508_rna_seq_GSM3082844.genes.results,GLDS-508_rna_seq_GSM3082844.isoforms.results	GLDS-508_rna_seq_RSEM_count_multiqc_report.zip	GLDS-508_rna_seq_RSEM_Unnormalized_Counts.csv,GLDS-508_rna_seq_STAR_Unnormalized_Counts.csv	GLDS-508_rna_seq_Normalized_Counts.csv	GLDS-508_rna_seq_SampleTable.csv,GLDS-508_rna_seq_contrasts.csv,GLDS-508_rna_seq_differential_expression.csv
